Book,Army,Var,Army Name,,Topography,Agg,General,1,2,3,4,5,6,7,8,9,10,Check,,Kn,HCh,Cv,LCh,Cm,LH,LCm,El,SCh,Pk,Sp,Bd,Bw,Lb,Cb,Wb,Hd,Ax,Ps,Art,WWg,CWg,CP,Lit,Enemies,Allies
1,5,d,Early Susiana or Elamite Army 1400-800 BC,a3,Arable,3,LCh,2xLCh,9x3Bw or Ps,,,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 21a, 21b, 23a, 23b, 25a, 25b, 37a",
1,6,a,Early Bedouin Army 3000-1001 BC,d3,Dry,3,3Wb or 3Ax,6x3Ax,2xPs or 3Bw,3xPs ,,,,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"I/1a, 1b, 2a, 6a, 6b, 6c, 8a, 9, 11a, 11b, 12, 15, 17a, 17b, 20b, 21a, 21b, 22a, 25b, 29b, 31a, 31b, 34a, 34b, 34c, 38, 44a, 45, 46b, 51, 53, 60a, 60c",I/9 or 11a or 11b or 12
1,6,b,Midianite or Amalekite Army 1500-312 BC or early Arab Army 1000-312 BC,d3,Dry,3,Cm,4xCm,4x3Ax,1xPs,2xPs,,,,,,,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 6c, 8a, 8b, 8c, 19, 20a, 20b, 22a, 24a, 25a, 25b, 27, 29a, 29b, 31a, 31b, 34a, 34b, 34c, 38, 44a, 44b, 45, 46b, 51, 53, 60a, 60c.",
1,6,c,Early Aramaean Army 2000-1101 BC,d3,Dry,3,3Ax or 3Wb or LCh,1xCm or LCm,5x3Ax,3xPs,2xPs,,,,,,,3,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"I/6a, 6b, 6c, 8b, 21a, 21b, 25a, 25b, 31a, 31b, II/7, 12, 16a, 19a",
1,7,a,Early Libyan Army 3000-1251 BC,d4,Dry,4,3Ax or 3Wb,6x3Ax/5Hd,2xPs or 3Bw,3xPs ,,,,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"I/2a, 3, 17a, 17b, 22a",
1,7,b,Early Libyan Army 1250-666 BC,d4,Dry,4,LCh,1xLCh or 4Bd,2x3Wb,3x3Ax or Ps,3xPs,2xPs,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/22a, 22b, 28, 35b, 46b",I/28
1,7,c,Early Libyan Army 666-476 BC,d0,Dry,0,LCh,1xLCh,5x3Wb or 3Ax or Sp,3xPs,2xPs,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/46b, 52b, 53, 56a, 60a, 60c, 61a",
1,7,d,Early Libyan Army 475 BC -70 AD,d0,Dry,0,LCh or LH,1xLCh or LH,5xSp or 3Ax,3xPs,2xPs,,,,,,,2,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/56b, II/7, 20a, 20b, 20c, 20d, 40, 49, 56",
1,8,a,"Makkan, Dilmun, Saba, Ma'in or Qataban Army 2800-1301 BC",l1,Littoral,1,3Bd,1x3Bd or 3Ax,6x3Ax,4xPs,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 8a, 10, 11a",I/21a
1,8,b,Makkan Army 1300-312 BC,l1,Littoral,1,3Wb or Cv,5x3Wb,2x3Wb or Cm,2x3Bw,2xPs,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"I/6a, 6b, 6c, 8b, 8c, 60a, 60c",
1,8,c,"Dilmun, Saba, Ma'in and Qataban Army 1300-312 BC",l1,Littoral,1,3Bd or 3Bd/Cv,2xCm or 4Ax,1x3Bd,5x3Ax,3xPs,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/6b, 8b, 8c",I/6b or 8a
1,9,,Early Syrian Army,a2,Arable,2,HCh or LCh or 3Bd,2x4Pk,4x3Ax or Ps,1x3Bw or Ps,4xPs,,,,,,,3,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/1b, 2a, 4a, 4b, 6a, 9, 11a",I/1b or 6a
1,10,,Melukhkhan and Pre-Vedic Indian Army,l0,Littoral,0,3Pk or Sp,3xPk or Sp,2x4Bw,2x4Bw or 3Ax,4xPs,,,,,,,2,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/5a, 5b, 5c, 8a, 10, 11a, 23a",
1,11,a,Akkadian Army 2334-2193 BC,A4,Arable,4,HCh or LCh or 3Bd,6x3/4Pk,1x4Bw,3xPs,1x7Hd or 3Ax,,,,,,,3,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/1b, 1c, 4a, 4b, 5b, 6a, 8a, 9, 10, 11a","I/1b, 5b, 9"
1,11,b,Akkadian & Third Dynasty of Ur 2112-2004 BC,A2,Arable,2,LCh or 3Bd,6x3/4Pk,2xSp,3xPs,,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/4b, 5b, 5c, 6a, 12",I/6a
1,12,,Sumerian Successor States 2028-1460 BC,A2,Arable,2,LCh or 3Bd/4Bw,2x3/4Pk,4x4Pk,1x4Bw,1x3Ax or 3Bw,3xPs,,,,,,3,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 5c, 6a, 11b, 12, 21a",I/5c or 6a or 15
1,13,a,Hsia and Shang Chinese Army 2000-1300 BC,A2,Arable,2,4Bw or 3Bd,5x4Bd,2x3Ax ,4x3Bw or Ps,,,,,,,,2,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"I/13a, 14d, 14g",I/14a
1,13,b,Shang Chinese Army 2000-1017 BC,A2,Arable,2,HCh or LCh,3x4Bd,2x4Bd or 3Ax or 4Ax,1x3Ax or 5Hd or Ps,5x3Bw or 4Bw or Ps,,,,,,,2,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/13b, 14d, 14g, 32a",I/14a and/or 32a
1,14,a,European Bronze Age Army 2000-1401 BC,A0,Arable,0,3Bd,9x4Bw,2xPs,,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,I/14a,
1,14,b,European Bronze Age Army 1401-701 BC,A3,Arable,3,LCh or 4Bd,2x4Bd,1xCv or 4Bd,6x3/4Ax,2xPs,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/14b, 26a, 33a, 33b",
1,14,c,European Iron Age Army 700-315 BC,A3,Arable,3,LCh or 4Wb,1xLCh,1xCv or 3Wb,8x3Wb,1xPs,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"I/14c, 47, II/11",
1,14,d,Chines Border-tribes Army 2000-401 BC,A3,Arable,3,3/4Bd or LCh or HCh,8x3Wb,3xPs,,,,,,,,,3,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/13a, 13b, 32a, 32c, 43a, II/4a, 4e, ","I/32a, 32c"
1,14,e,Jung or Ch'iang Army 400-315 BC,A3,Arable,3,Cv or LH or 4Wb,2xLH or 4Wb,6x3Wb,3xPs ,,,,,,,,3,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"I/43a, II/4c",
1,14,f,Red Ti Army 788-588 BC,A3,Arable,3,4Wb,4x4Wb,5x7Hd,2xPs,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"I/32a, 32c",I/32c
1,14,g,I Army 2000-315 BC,A3,Arable,3,3/4Wb,4x3Wb,4x3Bw,3xPs,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"I/13a, 13b, 32a, 32c",
1,15,,Later Amorite 1894-1595 BC,a3,Arable,3,LCh or 4Bw,5x3Bd,2x3/4Ax,2xPs,2x7Hd or 3Ax or Ps,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"I/2a, 4c, 5c, 6a, 12, 15, 16, 17a, 19",
1,16,,Hittite Old and Middle Kingdom 1680-1380 BC,a3,Arable,3,LCh,1xLCh or 3Ax,4x3Pk or 4Ax,3x3Ax,2xPs,1x7Hd or Ps,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 4d, 15, 18, 19",I/15 or 19
1,17,a,Early Hyksos Army 1645-1591 BC,l2,Littoral,2,LCh,4x3Bd,1x4Ax,3x3Ax or Ps,2xPs,1x7Hd or Ps,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/2b, 6a, 7a, 15",I/2b
1,17,b,Later Hyksos Army 1590-1537 BC,l2,Littoral,2,LCh,2xLCh,3x3Bd,2x3Ax,1x3Ax,2xPs,1xPs or 7Hd,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/2b, 6a, 7a, 20b, 22a",I/2b
1,18,,Minoan & Early Mycenaean 1600-1250 BC,l2,Littoral,2,HCh,3xHCh or LCh,4x4Pk,2x4Pk or 4Ax,1xPs,1xPs,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/16, 18, 24a, 24b",
1,19,,Mitanni 1595-1274 BC,a3,Arable,3,LCh,5xLCh,2x4/3Ax,2x4Bw or Ps,1xPs,1x7Hd,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 5c, 6b, 15, 16, 20b, 21a, 22a, 24a, 25a",I/6a and/ or (20b or 24a) 
1,20,a,Ugaritic Army 1274-1176 BC,l2,Littoral,2,HCh,3xLCh or HCh,1x4Bd,2x3Ax,2x3Ax or 7Hd,2xPs,1xPs,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 6b, 20b, 22b, 24b, 25a, 27, 28",
1,20,b,Other Syro-Canaanite Armies 1595-1100 BC,a2,Arable,2,LCh,3xLCh,1x4Bw or 3Bd,2x3Ax,2x3Ax or 7Hd,2xPs,1xPs,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 6a, 6b, 17b, 19, 20a, 20b, 21a, 22a, 22b, 24a, 24b, 25a, 27, 28, 29a",I/19 or 22a or 22b
1,21,a,Kassite Babylonian Army 1595-890 BC,a1,Arable,1,LCh,3xLCh,3x3Ax,3xPs,2xPs or 3Ax,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 5c, 5d, 6a, 6b, 6c, 12, 19, 20b, 24a, 24b, 25a, 31a",I/6c
1,21,b,Later Babylonian Army 889-747 BC,a1,Arable,1,HCh,1xHCh,2xLCh,1xCv,3x3Ax,3xPs,1xPs or 3Ax,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/5d, 6a, 6b, 6c, 25b, 42",I/6b or 6c or 25b
1,22,a,New Kingdom Egyptian Army 1543-1200 BC,l2,Littoral,2,LCh,3xLCh,3x3Bd,3x4Bw,1x4Bw or 4Bd,1xPs,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/3, 6a, 6b, 7a, 7b, 17b, 19, 20b, 24a, 24b, 27",
1,22,b,New Kingdom Egyptian Army 1199-1069 BC,l2,Littoral,2,LCh,3xLCh,3x4Bd,2x4Bw,1x3/4 Bd,1x3Wb,1xPs,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6b, 7b, 20a, 20b, 24b, 27, 28, 29a, 29b, 31a",
1,23,a,Early Vedic Indian Army 1500-900 BC,t2,Tropical,2,LCh,4xLCh,5x3Bw,2x7Hd,,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/5c, 5d, 10, 23a",
1,23,b,Later Vedic Indian Army 899-501 BC,t2,Tropical,2,LCh or HCh,1xEl or LCh,4xLCh,5x3Bw,1x7Hd,,,,,,,2,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/5d, 23b, 25b, 43a, 43c, 60a, 60c",
1,24,a,Early Hittite Imperial Army 1380-1275 BC,a2,Arable,2,LCh,3xLCh,4x3Pk,2x3Ax,1xPs,1x7Hd or Ps,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 4d, 6b, 18, 19, 20b, 21a, 22a, 24a, 25a",I/19
1,24,b,Later Hittite Imperial Army 1274-1140,a2,Arable,2,HCh,1xHCh,2xLCh,4x3Pk,2x3Ax,1xPs,1x7Hd or Ps,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4d, 18, 20a, 20b, 21a, 22a, 22b, 24b, 25a, 26a, 26b, 28",
1,25,a,Middle Assyrian Army 1365-883 BC,a4,Arable,4,LCh,3xLCh,2x3Bd,4x3/4Ax,2xPs,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 5d, 6b, 6c, 19, 20a, 20b, 21a, 24a, 24b, 31a, 34a, 34b, 37a",
1,25,b,Early Neo-Assyrian Army 882-745 BC,a4,Arable,4,HCh,1xHCh,1xLCh,1xLCh or LH,2x3Bd,4x3/4Ax,1xPs,1x7Hd,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/5d, 6a, 6b, 6c, 21b, 23b, 31b, 34b, 34c, 35b, 37a, 37b, 38, 39a, 39b, 40, 41a, 42",I/31b
1,26,a,Achaian Army 1250-1190 BC,l3,Littoral,3,LCh/4Bd,3xLCh/4Bd,4xSp,2xSp or 4Pk,1x4Wb or Ps,1xPs,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/14b, 24b, 26a, 26b, 28",
1,26,b,Trojan Army 1250-1190 BC,l1,Littoral,1,LCh/4Bd,3xLCh/4Bd,4xSp,1xSp or 3Bd,1x3Bw or Ps,2xPs,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/24b, 26a, 28",I/24b
1,27,,Early Hebrew 1250-1000 BC,h3,Hilly,3,3/4Ax,2x3Wb,1x3Bw or Ps,2xPs,5x3Ax,1x4Ax or 3Ax or Ps,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"I/6b, 20a, 20b, 22a, 22b, 29a, 29b, 31a",
1,28,,Sea-Peoples 1208-1176 BC,l4,Littoral,4,LCh or HCh or 4Bd,2x4Bd,6x3Bd,3x3Ax or Ps,,,,,,,,3,,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/4d, 7b, 20a, 20b, 22b, 24b, 26a, 26b",
1,29,a,Early Philistine Army 1166-1100 BC,a3,Arable,3,LCh or 4Bd,1xLCh,6x3Bd,2x3Ax,2xPs,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/6b, 20b, 22b, 27, 29a",I/20b
1,29,b,Later Philistine Army 1099-600 BC,a3,Arable,3,LCh or Sp,3xLCh,4xSp,2x3Ax,2xPs,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 22b, 27, 29b, 31a, 34a, 34b, 34c, 35a, 35b, b35c, 38, 45, 46b, 51, 53 ",I/31a or 31b or 35a or 35b or 35c or 38 or 46b
1,30,a,Greek Army 1160-901 BC,a2,Arable,2,LCh/3Bd,1xCv,4x3Bd,4x3Ax,2xPs,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"I/30a, 31a, 35a",
1,30,b,Greek Army 900-725 BC,a2,Arable,2,LCh or Cv,1xCv,7x3Ax,3xPs,,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/30b, 31b, 33b, 35b, 40",
1,30,c,Greek Army 724-650 BC,a2,Arable,2,Cv,1xCv,7xSp/4Ax,3xPs,,,,,,,,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/30c, 31b, 33b, 35b, 35c, 40, 43a, 48, 50, 52a",
1,31,a,Neo-Hittite & Later Aramaean Army 1100-901 BC,a2,Arable,2,LCh or 4Bw,5x3Ax,3xPs,3xPs,,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"I/4c, 4d, 6a, 6b, 6c, 21a, 22b, 25a, 27, 29b, 30a, 31a, 34a, 34b, 35a",
1,31,b,Neo-Hittite & Later Aramaean Army 900-710 BC,a2,Arable,2,LCh or HCh,1xLCh,1x4Ax or Sp,4x3Ax,2xPs,3xPs,,,,,,2,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 6c, 25b, 29b, 30b, 30c, 31b, 34b, 34c, 35b, 39a, 39b, 40",I/34b and/or 35b
1,32,a,Western Chou Army 1100-701 BC,a3,Arable,3,HCh,1xHCh,1x4Bd or 3Bd,3x4Bd,2x3Ax,3x3Bw,1xPs,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/13b, 14d, 14f, 14g, 32a",I/13b and/or 14a
1,32,b,Wu or Yueh Chinese Army 584-480 BC,l0,Littoral,0,HCh,1xHCh,1x3Bd,4x3Pk or 3/4Bd,2x3Wb,2x3/4 Bw,1xPs or 5Hd,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/32b, 32c, 49a",
1,32,c,Other Chinese Armies 700-480 BC,a0,Arable,0,HCh,3xHCh,1x3Bd,4x3Pk or 3/4Bd,2x3/4Bw,1xPs,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/14d, 14f, 14g, 32b, 32c, 43a, 49a",I/14a
1,33,a,Early Villanovan Italian Army 1000-801 BC,a1,Arable,1,Cv or LCh,11x3Wb,,,,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/14b, 33a, 36a, 36d",
1,33,b,Later Villanovan Italian Army 801-650 BC,a1,Arable,1,Cv or LCh,1xCv,5x4Wb,4x3Ax,1xPs,,,,,,,2,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/14b, 30b, 30c, 33b, 36a, 36d",
1,34,a,Later Hebrew Army 1000-969 BC,h3,Hilly,3,LCh,1x4Ax,6x3Ax,1xSp or 3Ax,3xPs,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 25a, 25b, 29b, 31a",
1,34,b,Later Hebrew Army 968-800 BC,h3,Hilly,3,LCh,1xLCh,1xLCh or 4Ax,7x3Ax,2xPs,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 25a, 25b, 29b, 31a, 31b, 38",I/31b and/or 35b and/or 34b Isreal & Judah
1,34,c,Later Hebrew Army 799-586 BC,h3,Hilly,3,HCh,1xHCh,1x4Ax,7x3Ax,2xPs,,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/6a, 6b, 25b, 29b, 31b, 38, 44a, 44b, 45, 46b, 51, 53","I/29b or 35 or 38 or 46a, or 46b, or 53"
1,35,a,Cypriot and Phoenician Army 1000-901 BC,l0,Littoral,0,LCh,1xLCh,6x4Ax,4xPs,,,,,,,,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/29b, 30a, 31a, 35a, 36b",
1,35,b,Cypriot and Phoenician Army 900-666 BC,l0,Littoral,0,HCh,1xHCh,1xCv,6x4Ax,3xPs,,,,,,,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/7b, 25b, 29b, 30b, 30c, 31b, 36b, 45",I/30c
1,35,c,Cypriot and Phoenician Army 665-490 BC,l0,Littoral,0,HCh or Sp,1xHCh,1xCv,6x4Ax or Sp,3xPs,,,,,,,2,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/29b, 30c, 36b, 41b, 44a, 44b, 51, 52g, 53, 60a",I/30c or 52g
1,35,d,Cypriot and Phoenician Army 489-332 BC,l0,Littoral,0,Cv or Sp,1xCv,7x4Ax or Sp,2xPs,1xArt or Sp,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"I/60a, 60c, II/7, 12",I/52g or II/5i
1,36,a,"Samnite, Umbriun, Hernician or Ligurian Armies 1000-124 BC",h3,Hilly,3,3/4Ax or Cv,10x3Ax,1xPs,,,,,,,,,2,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"I/33a, 33b, 36a, 36d, 52i, 55a, 55b, 55c, 55d, 55e, 57a, 57b, 59, II/8a, 8b, 8c, 10, 13",I/55c
1,36,b,Sardinian Army 700-124 BC,h3,Hilly,3,3/4Ax or LCh,8x3Ax,3x3Bw or Ps,,,,,,,,,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"I/35a, 35b, 35c, 61a, 61b, II/32a, 33",I/35b or 35c or II/32a
